REAL ESTATE (See also Realtors) *Denotes Realtor,220
"Cleaners-Garment, Curtains & Draperies",218
Land Companies (See also Real Estate),218
Osteopathic Physicians,216
SCHOOLS-PAROCHIAL,216
"""' silt. ITCG""",216
ORGANIZATIONS- MISCELLANEOUS CONTD,215
SHOE DEALERS-RETAIL,215
DESIGNERS,214
"""Beauty ShOps ' (See also Barbers)""",214
Glergyme,211
"""J EWELRY MANUFACTURERS '""",211
Artists,210
GROCERIES and MEATS-REva,210
Physicians .& Surgeons (MD),209
Chestnut,209
BEER-RETAIL,208
BEER-RE TAIL,208
*Real Estate (See also Brokers-Real Estate; also Land Companies),208
FURNITURE DEALERS-RETAIL,207
NURSES-GRADUATE,207
PARKS AND PLAYGROUNDS,207
LANDSCAPE GARDENERS,206
AUTOMOBILE DEALERS- USED CARS,202
"Tailors-Merchant (See also Ladies"" Tailors)",202
*Japanners ( See Enamelers) J ewelers-qu,202
RETAIL,201
Grocers-Wholesale,200
Machinists,200
FACTURERS,198
CATERERS,197
UPHOLSTERERS,197
Milk Dealers,197
Plorists-Retail,195
Oil Burners & Oil Burning Equipment,195
MENT AND SUPPLIES,194
Antiques,194
Christian Science Practitioners,193
"""' Nurses""",192
Automobile Repairing (See also Automobile Garages),192
FUEL and RANGE OIL,191
BAKED GOODS-RETAIL,191
IS WANTED SPECIFY,190
J ewelers-Mfg,189
Roofers,187
"""J ewelers' Findings""",187
JEWELRY MFRS,187
Building Materials & Supplies,186
Delicatesse,186
Sign Painters & Mfrs,186
CONTRACTORS-PAINTING AND DECORATING-CONTD,186
CONTRACTORS-MASON,186
"""Tailors-aMe'rch-a'nt (See also Ladiey Tailors)""",185
*Japanners (See Enamelers) J ewele rs--Mig,185
DE NTISTS,185
JEWELERS-RETAIL,185
"PROVIDENCE, R. I.",185
Opticians,183
PHYSICIANS AN D SURGEONS-MD. CONTD,183
LINENS-RETAIL,183
ORGANIZATIONS- MISCELLANEOUS,183
CONTRACTORS-BUILDING- GENERAL CONTD,182
BROKER S,182
"""Real Estate (See also Brokers-Rea1 Estate; ' also Land Companies)""",182
"""'Japanners (See Enamelers) J ewelers-an""",182
RESTAURANTS-Contd,182
ENAMELERS,181
GRINDING WHEE LS MANUFAC - TURERS (See also Abrasives),181
*Law Books (See Booksellers) Law Offices,180
"Platers (See also Nickel Platers, Silver Platers &c)",180
Insurance Companies-Pire,180
Coal Dealers-Retail,179
ST,178
CLOTHING-RETAIL-CONTD,178
RETAURANTS-CONTD,178
ORGANIZATIONS-LABOR,178
Lumber-Retail,177
"""Telephone GAsp't""",177
CONTRACTORS- ELECTRICAL,176
Telephone PA wtucket 5-4600,176
FUEL AND RANGE OIL,176
LABORATORIES,175
CONTRACTORS-PAINTING and DECORATING,175
2\n\nl\n\n3,175
APARTMENTS AND TOWN HOUSES,174
INC,174
STORERS,174
APARTIWENT BUILDINGS,173
HEN UALI Y IS WANTED SPECIFY,173
GROCERIES AND MEATS-RETAIL,173
Fur Dealers & Furriers,172
Hotels,171
GA SDLINE STATION S,171
JEWE LRY MANUFACTURERS,171
"Quality Paperv 110 TWEED STREET PAWTUGKET, R. I. Tel. PA wtucket 2-4400",170
*Ironing Machines,170
Cleaners and DYers,168
LIQUOR AND WINES-RETAIL,168
Insurance Brokers,167
"""PROVIDENCE, R. 'l-""",167
CONTD,167
Dmggists-Retail,166
Tailors-Merchant (See also Ladies8 Tailors),166
Meats-Retall (See also Grocers),165
ANTIQUES-DEALERS AN D,165
"Tailors-Merchant (See also Ladies, Tailors)",164
ERS,163
DECORATING,163
DEPARTMENT STORES,163
EMPLOYMENT AGENCIES,163
AND REPAIRING,162
Poultry Dealers-Retail,162
*J.apanners (See Enamelers) J ewelers-Miu,162
Die Makers,162
DENTAL LABORATORIES,161
CONTRAC TORS- PAINTING and DECORATING,161
Employment Agencies,161
Drugglsts-Retall,161
VARIETY ROMS (80. mo General Merchandise),160
*JEWE LRY ENGRAVERS,160
Nurses-Practical,160
